scenario,seed,simulation_time_seconds,intersection_id,queue_length,vehicle_count,mean_speed_mps,throughput_vehicles,tls_phase
low,42,900,cluster_482350926_6510829336_772206492,0.7666666666666667,2.15,4.657846420995677,7,3
low,42,900,cluster_4961905688_6510829310_771983339_772054674_#2more,0.016666666666666666,0.16666666666666666,7.064723343581084,1,4
low,42,900,cluster_6510829335_772038986,0.0,0.38333333333333336,10.07113379809431,3,3
low,42,900,cluster_771987417_772142429_772237953_8821814562,0.0,0.25,7.6804544759857585,5,2
low,42,900,cluster_772070536_772172281,0.0,0.0,0.0,0,3
low,42,900,cluster_772156519_772183645,0.8,0.95,0.7085483203854499,0,3
low,42,900,joinedS_3841825190_cluster_367567700_772275036,0.0,0.016666666666666666,4.593130399254039,1,5
low,42,960,6510829334,0.0,0.03333333333333333,11.162581687210121,1,0
low,42,960,772009950,0.0,0.06666666666666667,11.057843652320155,1,0
low,42,960,772249131,0.0,0.11666666666666667,10.577997727672312,1,0
low,42,960,GS_772276149,0.0,0.13333333333333333,8.137980413260616,1,3
low,42,960,cluster_367567689_6510829338,0.0,0.3333333333333333,10.536758273578133,1,2
low,42,960,cluster_368825355_772192674_9246233634,0.36666666666666664,0.65,3.207302935700297,2,2
low,42,960,cluster_370330726_6544892748_772027151,0.45,0.9,3.550308698201679,2,2
low,42,960,cluster_482350926_6510829336_772206492,0.36666666666666664,1.2666666666666666,4.834543796312211,3,2
low,42,960,cluster_4961905688_6510829310_771983339_772054674_#2more,1.4,1.6833333333333333,1.1683464312765277,5,2
low,42,960,cluster_6510829335_772038986,0.0,0.2833333333333333,10.53143653004123,3,0
low,42,960,cluster_771987417_772142429_772237953_8821814562,0.0,0.18333333333333332,9.290182405586489,3,0
low,42,960,cluster_772070536_772172281,0.0,0.05,10.584226775469977,1,2
low,42,960,cluster_772156519_772183645,0.0,0.03333333333333333,7.254221283001337,1,2
low,42,960,joinedS_3841825190_cluster_367567700_772275036,0.0,0.11666666666666667,9.536618614011301,2,3
low,42,1020,6510829334,0.0,0.1,8.936775250288314,2,0
low,42,1020,772009950,0.0,0.2,10.731252271423088,1,0
low,42,1020,772249131,0.0,0.0,0.0,0,0
low,42,1020,GS_772276149,0.11666666666666667,0.23333333333333334,1.9761241215486722,1,1
low,42,1020,cluster_367567689_6510829338,0.8333333333333334,1.0,0.8060727303950085,2,0
low,42,1020,cluster_368825355_772192674_9246233634,0.0,0.06666666666666667,10.506655705406741,1,0
low,42,1020,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,0
low,42,1020,cluster_482350926_6510829336_772206492,0.35,1.05,4.2177921521984,2,0
low,42,1020,cluster_4961905688_6510829310_771983339_772054674_#2more,0.0,0.016666666666666666,7.538363591291392,1,0
low,42,1020,cluster_6510829335_772038986,0.0,0.18333333333333332,7.790363093803484,1,0
low,42,1020,cluster_771987417_772142429_772237953_8821814562,0.0,0.06666666666666667,10.826600917854526,1,0
low,42,1020,cluster_772070536_772172281,0.0,0.0,0.0,0,0
low,42,1020,cluster_772156519_772183645,0.08333333333333333,0.13333333333333333,2.2903497901246386,1,0
low,42,1020,joinedS_3841825190_cluster_367567700_772275036,0.1,0.16666666666666666,0.8322154133395914,0,1
low,42,1080,6510829334,0.0,0.06666666666666667,6.765246979299309,0,2
low,42,1080,772009950,0.0,0.0,0.0,0,2
low,42,1080,772249131,0.0,0.0,0.0,0,2
low,42,1080,GS_772276149,1.5166666666666666,1.65,0.5564645642177922,0,5
low,42,1080,cluster_367567689_6510829338,0.7333333333333333,0.9833333333333333,2.239764399240113,1,4
low,42,1080,cluster_368825355_772192674_9246233634,0.5833333333333334,0.8166666666666667,1.854565905545728,0,4
low,42,1080,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,3
low,42,1080,cluster_482350926_6510829336_772206492,0.25,1.0,5.341740876453234,3,3
low,42,1080,cluster_4961905688_6510829310_771983339_772054674_#2more,0.7,0.8833333333333333,1.457730853077932,1,4
low,42,1080,cluster_6510829335_772038986,0.0,0.13333333333333333,10.386676973013723,1,3
low,42,1080,cluster_771987417_772142429_772237953_8821814562,0.0,0.08333333333333333,7.930284438401479,2,2
low,42,1080,cluster_772070536_772172281,0.0,0.0,0.0,0,3
low,42,1080,cluster_772156519_772183645,0.08333333333333333,0.15,1.9114069134249985,0,3
low,42,1080,joinedS_3841825190_cluster_367567700_772275036,0.0,0.016666666666666666,4.154113478576266,1,5
low,42,1140,6510829334,0.0,0.15,9.732554129644475,4,0
low,42,1140,772009950,0.0,0.0,0.0,0,0
low,42,1140,772249131,0.0,0.0,0.0,0,0
